consumer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Fats and oils,July,2010,2010,Mid point of prediction interval,-0.9
Fats and oils,July,2010,2010,Upper bound of prediction interval,1.0
Dairy products,June,2010,2010,Lower bound of prediction interval,-2.2
Fats and oils,August,2010,2010,Mid point of prediction interval,-0.4
Fresh fruits,December,2010,2010,Lower bound of prediction interval,-1.3
Fresh fruits,November,2010,2010,Upper bound of prediction interval,-0.7
Fats and oils,August,2010,2010,Lower bound of prediction interval,-1.8
Beef and veal,February,2011,2011,Lower bound of forecast range,3.5
Beef and veal,February,2011,2011,Upper bound of forecast range,4.5
Beef and veal,March,2011,2011,Lower bound of forecast range,4.5
Beef and veal,March,2011,2011,Upper bound of forecast range,5.5
Beef and veal,April,2011,2011,Lower bound of forecast range,7.0
Beef and veal,April,2011,2011,Upper bound of forecast range,8.0
Beef and veal,May,2011,2011,Lower bound of forecast range,7.0
"Meats, poultry, and fish",January,2011,2011,Lower bound of forecast range,2.5
Fish and seafood,December,2011,2012,Upper bound of prediction interval,7.3
Fish and seafood,December,2011,2012,Lower bound of prediction interval,0.0
Fish and seafood,November,2011,2012,Upper bound of prediction interval,7.9
Fish and seafood,November,2011,2012,Mid point of prediction interval,3.8
Fish and seafood,September,2011,2012,Lower bound of prediction interval,-0.7
Fish and seafood,September,2011,2012,Mid point of prediction interval,3.9
Fish and seafood,September,2011,2012,Upper bound of prediction interval,8.6
Fish and seafood,October,2011,2012,Lower bound of prediction interval,0.5
Fish and seafood,October,2011,2012,Mid point of prediction interval,4.9
Fish and seafood,November,2011,2012,Lower bound of prediction interval,-0.1
Fish and seafood,October,2011,2012,Upper bound of prediction interval,9.4
Fish and seafood,December,2011,2012,Mid point of prediction interval,3.6
"Meats, poultry, and fish",July,2011,2011,Lower bound of forecast range,5.0
Eggs,August,2011,2012,Upper bound of prediction interval,28.3
Food at home,December,2011,2011,Lower bound of forecast range,4.25
Meats,May,2011,2011,Upper bound of forecast range,7.0
Meats,May,2011,2011,Lower bound of forecast range,6.0
Meats,April,2011,2011,Upper bound of forecast range,7.0
Meats,April,2011,2011,Lower bound of forecast range,6.0
Meats,March,2011,2011,Upper bound of forecast range,5.5
Meats,March,2011,2011,Lower bound of forecast range,4.5
Meats,February,2011,2011,Upper bound of forecast range,5.0
Meats,February,2011,2011,Lower bound of forecast range,4.0
Meats,January,2011,2011,Upper bound of forecast range,3.5
Meats,January,2011,2011,Lower bound of forecast range,2.5
Eggs,October,2011,2012,Upper bound of prediction interval,31.9
Eggs,October,2011,2012,Mid point of prediction interval,4.3
Eggs,October,2011,2012,Lower bound of prediction interval,-17.1
Eggs,September,2011,2012,Upper bound of prediction interval,31.1
Eggs,September,2011,2012,Mid point of prediction interval,1.7
Eggs,September,2011,2012,Lower bound of prediction interval,-20.3
Food at home,July,2011,2011,Lower bound of forecast range,3.5
Food at home,July,2011,2011,Upper bound of forecast range,4.5
Food at home,August,2011,2011,Lower bound of forecast range,3.5
Food at home,August,2011,2011,Upper bound of forecast range,4.5
Food at home,September,2011,2011,Lower bound of forecast range,3.5
Food at home,September,2011,2011,Upper bound of forecast range,4.5
Food at home,October,2011,2011,Lower bound of forecast range,4.0
Beef and veal,January,2011,2011,Upper bound of forecast range,3.5
Food at home,October,2011,2011,Upper bound of forecast range,5.0
Food at home,November,2011,2011,Lower bound of forecast range,4.0
Food at home,November,2011,2011,Upper bound of forecast range,5.0
Food at home,December,2011,2011,Upper bound of forecast range,4.75
Beef and veal,January,2011,2011,Lower bound of forecast range,2.5
Eggs,November,2011,2012,Mid point of prediction interval,3.9
Dairy products,August,2011,2012,Mid point of prediction interval,1.8
Meats,October,2011,2011,Lower bound of forecast range,6.5
Meats,September,2011,2011,Upper bound of forecast range,7.5
Meats,September,2011,2011,Lower bound of forecast range,6.5
Meats,August,2011,2011,Upper bound of forecast range,7.0
Meats,August,2011,2011,Lower bound of forecast range,6.0
Meats,July,2011,2011,Upper bound of forecast range,7.0
Meats,July,2011,2011,Lower bound of forecast range,6.0
Meats,June,2011,2011,Upper bound of forecast range,7.0
Eggs,July,2011,2012,Upper bound of prediction interval,22.2
Eggs,July,2011,2012,Mid point of prediction interval,-7.3
Meats,October,2011,2011,Upper bound of forecast range,7.5
Eggs,July,2011,2012,Lower bound of prediction interval,-29.0
"Meats, poultry, and fish",December,2011,2011,Lower bound of forecast range,7.0
"Meats, poultry, and fish",November,2011,2011,Upper bound of forecast range,6.5
"Meats, poultry, and fish",November,2011,2011,Lower bound of forecast range,5.5
"Meats, poultry, and fish",October,2011,2011,Upper bound of forecast range,6.5
"Meats, poultry, and fish",October,2011,2011,Lower bound of forecast range,5.5
"Meats, poultry, and fish",September,2011,2011,Upper bound of forecast range,6.5
"Meats, poultry, and fish",September,2011,2011,Lower bound of forecast range,5.5
"Meats, poultry, and fish",August,2011,2011,Upper bound of forecast range,6.0
"Meats, poultry, and fish",August,2011,2011,Lower bound of forecast range,5.0
"Meats, poultry, and fish",July,2011,2011,Upper bound of forecast range,6.0
"Meats, poultry, and fish",December,2011,2011,Upper bound of forecast range,7.5
Meats,November,2011,2011,Lower bound of forecast range,6.5
Meats,November,2011,2011,Upper bound of forecast range,7.5
"Meats, poultry, and fish",June,2011,2011,Upper bound of forecast range,6.0
Dairy products,August,2011,2012,Lower bound of prediction interval,-6.7
Dairy products,July,2011,2012,Upper bound of prediction interval,10.1
Dairy products,July,2011,2012,Mid point of prediction interval,0.7
Dairy products,July,2011,2012,Lower bound of prediction interval,-8.1
Eggs,December,2011,2012,Upper bound of prediction interval,28.3
Eggs,December,2011,2012,Mid point of prediction interval,4.7
Eggs,December,2011,2012,Lower bound of prediction interval,-14.0
"Meats, poultry, and fish",January,2011,2011,Upper bound of forecast range,3.5
"Meats, poultry, and fish",February,2011,2011,Lower bound of forecast range,3.5
"Meats, poultry, and fish",February,2011,2011,Upper bound of forecast range,4.5
"Meats, poultry, and fish",March,2011,2011,Lower bound of forecast range,4.0
"Meats, poultry, and fish",March,2011,2011,Upper bound of forecast range,5.0
Eggs,November,2011,2012,Upper bound of prediction interval,29.6
"Meats, poultry, and fish",April,2011,2011,Lower bound of forecast range,5.0
"Meats, poultry, and fish",April,2011,2011,Upper bound of forecast range,6.0
Eggs,November,2011,2012,Lower bound of prediction interval,-16.1
Meats,December,2011,2011,Upper bound of forecast range,8.75
Meats,December,2011,2011,Lower bound of forecast range,8.25
Eggs,August,2011,2012,Mid point of prediction interval,-1.6
Eggs,August,2011,2012,Lower bound of prediction interval,-23.8
"Meats, poultry, and fish",May,2011,2011,Lower bound of forecast range,5.0
"Meats, poultry, and fish",May,2011,2011,Upper bound of forecast range,6.0
"Meats, poultry, and fish",June,2011,2011,Lower bound of forecast range,5.0
Dairy products,August,2011,2012,Upper bound of prediction interval,10.9
Meats,June,2011,2011,Lower bound of forecast range,6.0
Cereals and bakery products,August,2011,2012,Mid point of prediction interval,2.8
Food at home,June,2011,2011,Lower bound of forecast range,3.5
Meats,November,2011,2012,Upper bound of prediction interval,9.8
Meats,November,2011,2012,Mid point of prediction interval,4.1
Meats,November,2011,2012,Lower bound of prediction interval,-1.4
Meats,October,2011,2012,Upper bound of prediction interval,10.6
Meats,October,2011,2012,Mid point of prediction interval,4.4
Meats,October,2011,2012,Lower bound of prediction interval,-1.5
Meats,September,2011,2012,Upper bound of prediction interval,11.3
Meats,September,2011,2012,Mid point of prediction interval,4.6
Meats,September,2011,2012,Lower bound of prediction interval,-1.8
Meats,August,2011,2012,Upper bound of prediction interval,11.0
Meats,August,2011,2012,Mid point of prediction interval,3.8
Meats,August,2011,2012,Lower bound of prediction interval,-2.9
Meats,July,2011,2012,Upper bound of prediction interval,11.1
Meats,July,2011,2012,Mid point of prediction interval,3.6
Meats,July,2011,2012,Lower bound of prediction interval,-3.6
"Meats, poultry, and fish",December,2011,2012,Upper bound of prediction interval,7.2
"Meats, poultry, and fish",December,2011,2012,Mid point of prediction interval,3.3
"Meats, poultry, and fish",December,2011,2012,Lower bound of prediction interval,-0.4
"Meats, poultry, and fish",November,2011,2012,Upper bound of prediction interval,8.3
"Meats, poultry, and fish",November,2011,2012,Mid point of prediction interval,3.9
"Meats, poultry, and fish",November,2011,2012,Lower bound of prediction interval,-0.1
"Meats, poultry, and fish",October,2011,2012,Upper bound of prediction interval,8.8
"Meats, poultry, and fish",October,2011,2012,Mid point of prediction interval,4.0
Meats,December,2011,2012,Lower bound of prediction interval,-0.9
Meats,December,2011,2012,Mid point of prediction interval,3.9
Meats,December,2011,2012,Upper bound of prediction interval,9.1
Beef and veal,July,2011,2012,Lower bound of prediction interval,-5.9
Pork,September,2011,2012,Lower bound of prediction interval,-6.2
Pork,August,2011,2012,Upper bound of prediction interval,11.8
Pork,August,2011,2012,Mid point of prediction interval,1.9
Pork,August,2011,2012,Lower bound of prediction interval,-7.1
Pork,July,2011,2012,Upper bound of prediction interval,11.8
Pork,July,2011,2012,Mid point of prediction interval,1.3
Pork,July,2011,2012,Lower bound of prediction interval,-8.0
Beef and veal,December,2011,2012,Upper bound of prediction interval,12.5
Beef and veal,December,2011,2012,Mid point of prediction interval,4.8
Beef and veal,December,2011,2012,Lower bound of prediction interval,-2.0
Beef and veal,November,2011,2012,Upper bound of prediction interval,13.4
"Meats, poultry, and fish",October,2011,2012,Lower bound of prediction interval,-0.4
Beef and veal,November,2011,2012,Mid point of prediction interval,5.0
Beef and veal,October,2011,2012,Upper bound of prediction interval,13.3
Beef and veal,October,2011,2012,Mid point of prediction interval,4.2
Beef and veal,October,2011,2012,Lower bound of prediction interval,-3.9
Beef and veal,September,2011,2012,Upper bound of prediction interval,14.9
Beef and veal,September,2011,2012,Mid point of prediction interval,5.1
Beef and veal,September,2011,2012,Lower bound of prediction interval,-3.9
Beef and veal,August,2011,2012,Upper bound of prediction interval,15.3
Beef and veal,August,2011,2012,Mid point of prediction interval,5.0
Beef and veal,August,2011,2012,Lower bound of prediction interval,-4.3
Beef and veal,July,2011,2012,Upper bound of prediction interval,14.8
Beef and veal,July,2011,2012,Mid point of prediction interval,3.8
Beef and veal,November,2011,2012,Lower bound of prediction interval,-2.5
Pork,September,2011,2012,Mid point of prediction interval,2.2
"Meats, poultry, and fish",September,2011,2012,Upper bound of prediction interval,8.7
"Meats, poultry, and fish",September,2011,2012,Lower bound of prediction interval,-1.1
Food away from home,November,2011,2012,Mid point of prediction interval,2.6
Food away from home,November,2011,2012,Lower bound of prediction interval,1.5
Food away from home,October,2011,2012,Upper bound of prediction interval,3.9
Food away from home,October,2011,2012,Mid point of prediction interval,2.7
Food away from home,October,2011,2012,Lower bound of prediction interval,1.5
Food away from home,September,2011,2012,Upper bound of prediction interval,3.9
Food away from home,September,2011,2012,Mid point of prediction interval,2.6
Food away from home,September,2011,2012,Lower bound of prediction interval,1.3
Food away from home,August,2011,2012,Upper bound of prediction interval,3.7
Food away from home,August,2011,2012,Mid point of prediction interval,2.3
Food away from home,August,2011,2012,Lower bound of prediction interval,0.9
Food away from home,July,2011,2012,Upper bound of prediction interval,3.5
Food away from home,July,2011,2012,Mid point of prediction interval,2.0
Food away from home,July,2011,2012,Lower bound of prediction interval,0.5
All food,December,2011,2012,Upper bound of prediction interval,4.3
All food,December,2011,2012,Mid point of prediction interval,2.8
All food,December,2011,2012,Lower bound of prediction interval,1.3
All food,November,2011,2012,Upper bound of prediction interval,4.7
All food,November,2011,2012,Mid point of prediction interval,3.1
All food,November,2011,2012,Lower bound of prediction interval,1.5
All food,October,2011,2012,Upper bound of prediction interval,4.7
All food,October,2011,2012,Mid point of prediction interval,2.9
All food,October,2011,2012,Lower bound of prediction interval,1.2
Food away from home,November,2011,2012,Upper bound of prediction interval,3.6
Food away from home,December,2011,2012,Lower bound of prediction interval,1.9
Food away from home,December,2011,2012,Mid point of prediction interval,2.9
Food away from home,December,2011,2012,Upper bound of prediction interval,3.8
"Meats, poultry, and fish",August,2011,2012,Upper bound of prediction interval,8.0
"Meats, poultry, and fish",August,2011,2012,Mid point of prediction interval,2.6
"Meats, poultry, and fish",August,2011,2012,Lower bound of prediction interval,-2.5
"Meats, poultry, and fish",July,2011,2012,Upper bound of prediction interval,8.8
"Meats, poultry, and fish",July,2011,2012,Mid point of prediction interval,3.1
"Meats, poultry, and fish",July,2011,2012,Lower bound of prediction interval,-2.3
Food at home,December,2011,2012,Upper bound of prediction interval,5.0
Food at home,December,2011,2012,Mid point of prediction interval,2.7
Food at home,December,2011,2012,Lower bound of prediction interval,0.4
Food at home,November,2011,2012,Upper bound of prediction interval,5.9
Food at home,November,2011,2012,Mid point of prediction interval,3.3
"Meats, poultry, and fish",September,2011,2012,Mid point of prediction interval,3.5
Food at home,November,2011,2012,Lower bound of prediction interval,0.8
Food at home,October,2011,2012,Mid point of prediction interval,3.2
Food at home,October,2011,2012,Lower bound of prediction interval,0.4
Food at home,September,2011,2012,Upper bound of prediction interval,5.8
Food at home,September,2011,2012,Mid point of prediction interval,2.9
Food at home,September,2011,2012,Lower bound of prediction interval,0.1
Food at home,August,2011,2012,Upper bound of prediction interval,5.5
Food at home,August,2011,2012,Mid point of prediction interval,2.4
Food at home,August,2011,2012,Lower bound of prediction interval,-0.5
Food at home,July,2011,2012,Upper bound of prediction interval,5.4
Food at home,July,2011,2012,Mid point of prediction interval,2.2
Food at home,July,2011,2012,Lower bound of prediction interval,-0.9
Food at home,October,2011,2012,Upper bound of prediction interval,5.9
Pork,September,2011,2012,Upper bound of prediction interval,11.5
Pork,October,2011,2012,Lower bound of prediction interval,-4.7
Pork,October,2011,2012,Mid point of prediction interval,3.3
Food away from home,September,2011,2011,Upper bound of forecast range,4.0
Food away from home,September,2011,2011,Lower bound of forecast range,3.0
Food away from home,August,2011,2011,Upper bound of forecast range,4.0
Food away from home,August,2011,2011,Lower bound of forecast range,3.0
Food away from home,July,2011,2011,Upper bound of forecast range,4.0
Food away from home,July,2011,2011,Lower bound of forecast range,3.0
Food away from home,June,2011,2011,Upper bound of forecast range,4.0
Food away from home,June,2011,2011,Lower bound of forecast range,3.0
Food away from home,May,2011,2011,Upper bound of forecast range,4.0
Food away from home,May,2011,2011,Lower bound of forecast range,3.0
Food away from home,April,2011,2011,Upper bound of forecast range,4.0
Food away from home,April,2011,2011,Lower bound of forecast range,3.0
Food away from home,March,2011,2011,Upper bound of forecast range,4.0
Food away from home,March,2011,2011,Lower bound of forecast range,3.0
Food away from home,February,2011,2011,Upper bound of forecast range,4.0
Food away from home,February,2011,2011,Lower bound of forecast range,3.0
Food away from home,January,2011,2011,Upper bound of forecast range,3.0
Food away from home,January,2011,2011,Lower bound of forecast range,2.0
Poultry,October,2011,2012,Upper bound of prediction interval,7.7
Poultry,October,2011,2012,Mid point of prediction interval,2.6
Poultry,October,2011,2012,Lower bound of prediction interval,-2.2
Poultry,September,2011,2012,Upper bound of prediction interval,8.2
Poultry,September,2011,2012,Mid point of prediction interval,2.8
Food away from home,October,2011,2011,Lower bound of forecast range,3.0
Food away from home,October,2011,2011,Upper bound of forecast range,4.0
Food away from home,November,2011,2011,Lower bound of forecast range,3.0
Food away from home,November,2011,2011,Upper bound of forecast range,4.0
Food at home,May,2011,2011,Upper bound of forecast range,4.5
Food at home,May,2011,2011,Lower bound of forecast range,3.5
Food at home,April,2011,2011,Upper bound of forecast range,4.5
Food at home,April,2011,2011,Lower bound of forecast range,3.5
Food at home,March,2011,2011,Upper bound of forecast range,4.5
Food at home,March,2011,2011,Lower bound of forecast range,3.5
Food at home,February,2011,2011,Upper bound of forecast range,4.0
Food at home,February,2011,2011,Lower bound of forecast range,3.0
Food at home,January,2011,2011,Upper bound of forecast range,3.0
Food at home,January,2011,2011,Lower bound of forecast range,2.0
Fish and seafood,August,2011,2012,Upper bound of prediction interval,9.6
Poultry,September,2011,2012,Lower bound of prediction interval,-2.3
Fish and seafood,August,2011,2012,Mid point of prediction interval,4.3
Fish and seafood,July,2011,2012,Upper bound of prediction interval,9.8
Fish and seafood,July,2011,2012,Mid point of prediction interval,4.2
Fish and seafood,July,2011,2012,Lower bound of prediction interval,-1.3
Poultry,December,2011,2012,Upper bound of prediction interval,6.9
Poultry,December,2011,2012,Mid point of prediction interval,2.6
Poultry,December,2011,2012,Lower bound of prediction interval,-1.5
Poultry,November,2011,2012,Upper bound of prediction interval,8.2
Poultry,November,2011,2012,Mid point of prediction interval,3.5
Poultry,November,2011,2012,Lower bound of prediction interval,-1.1
Food away from home,December,2011,2011,Upper bound of forecast range,2.5
Food away from home,December,2011,2011,Lower bound of forecast range,2.0
Fish and seafood,August,2011,2012,Lower bound of prediction interval,-0.7
Poultry,August,2011,2012,Upper bound of prediction interval,8.1
Poultry,August,2011,2012,Mid point of prediction interval,2.3
Poultry,August,2011,2012,Lower bound of prediction interval,-3.2
Other meats,December,2011,2012,Mid point of prediction interval,4.0
Other meats,December,2011,2012,Lower bound of prediction interval,0.1
Other meats,November,2011,2012,Upper bound of prediction interval,8.0
Other meats,November,2011,2012,Mid point of prediction interval,3.6
Other meats,November,2011,2012,Lower bound of prediction interval,-0.5
Other meats,October,2011,2012,Upper bound of prediction interval,7.3
Other meats,October,2011,2012,Mid point of prediction interval,2.6
Other meats,October,2011,2012,Lower bound of prediction interval,-1.9
Other meats,September,2011,2012,Upper bound of prediction interval,7.9
Other meats,September,2011,2012,Mid point of prediction interval,2.7
Other meats,September,2011,2012,Lower bound of prediction interval,-1.9
Other meats,December,2011,2012,Upper bound of prediction interval,8.1
Other meats,August,2011,2012,Upper bound of prediction interval,7.1
Other meats,August,2011,2012,Lower bound of prediction interval,-3.0
Other meats,July,2011,2012,Upper bound of prediction interval,7.3
Other meats,July,2011,2012,Mid point of prediction interval,1.8
Other meats,July,2011,2012,Lower bound of prediction interval,-3.3
Pork,December,2011,2012,Upper bound of prediction interval,8.6
Pork,December,2011,2012,Mid point of prediction interval,1.2
Pork,December,2011,2012,Lower bound of prediction interval,-5.5
Pork,November,2011,2012,Upper bound of prediction interval,10.4
Pork,November,2011,2012,Mid point of prediction interval,2.3
Pork,November,2011,2012,Lower bound of prediction interval,-5.1
Pork,October,2011,2012,Upper bound of prediction interval,12.2
Other meats,August,2011,2012,Mid point of prediction interval,1.9
Food at home,June,2011,2011,Upper bound of forecast range,4.5
All food,January,2011,2011,Lower bound of forecast range,2.0
All food,February,2011,2011,Lower bound of forecast range,3.0
Poultry,July,2011,2012,Upper bound of prediction interval,8.3
Poultry,July,2011,2012,Mid point of prediction interval,2.1
Poultry,July,2011,2012,Lower bound of prediction interval,-3.6
All food,December,2011,2011,Upper bound of forecast range,3.75
All food,December,2011,2011,Lower bound of forecast range,3.25
All food,November,2011,2011,Upper bound of forecast range,4.5
All food,November,2011,2011,Lower bound of forecast range,3.5
All food,October,2011,2011,Upper bound of forecast range,4.5
All food,October,2011,2011,Lower bound of forecast range,3.5
All food,September,2011,2011,Upper bound of forecast range,4.0
All food,September,2011,2011,Lower bound of forecast range,3.0
All food,January,2011,2011,Upper bound of forecast range,3.0
All food,August,2011,2011,Upper bound of forecast range,4.0
All food,July,2011,2011,Upper bound of forecast range,4.0
All food,July,2011,2011,Lower bound of forecast range,3.0
All food,June,2011,2011,Upper bound of forecast range,4.0
All food,June,2011,2011,Lower bound of forecast range,3.0
All food,May,2011,2011,Upper bound of forecast range,4.0
All food,May,2011,2011,Lower bound of forecast range,3.0
All food,April,2011,2011,Upper bound of forecast range,4.0
All food,April,2011,2011,Lower bound of forecast range,3.0
All food,March,2011,2011,Upper bound of forecast range,4.0
All food,March,2011,2011,Lower bound of forecast range,3.0
All food,February,2011,2011,Upper bound of forecast range,4.0
All food,August,2011,2011,Lower bound of forecast range,3.0
Beef and veal,May,2011,2011,Upper bound of forecast range,8.0
Pork,May,2011,2011,Lower bound of forecast range,6.5
Beef and veal,June,2011,2011,Upper bound of forecast range,8.0
Fresh vegetables,July,2011,2012,Lower bound of prediction interval,-10.6
Fats and oils,December,2011,2011,Upper bound of forecast range,9.0
Fats and oils,December,2011,2011,Lower bound of forecast range,8.5
Fats and oils,November,2011,2011,Upper bound of forecast range,7.5
Fats and oils,November,2011,2011,Lower bound of forecast range,6.5
Fats and oils,October,2011,2011,Upper bound of forecast range,7.5
Fats and oils,October,2011,2011,Lower bound of forecast range,6.5
Fats and oils,September,2011,2011,Upper bound of forecast range,7.5
Fats and oils,September,2011,2011,Lower bound of forecast range,6.5
Fats and oils,August,2011,2011,Upper bound of forecast range,7.5
Fats and oils,August,2011,2011,Lower bound of forecast range,6.5
Fats and oils,July,2011,2011,Upper bound of forecast range,7.5
Nonalcoholic beverages,September,2011,2012,Mid point of prediction interval,1.8
Nonalcoholic beverages,September,2011,2012,Upper bound of prediction interval,5.3
Nonalcoholic beverages,October,2011,2012,Lower bound of prediction interval,-0.8
Nonalcoholic beverages,October,2011,2012,Mid point of prediction interval,2.4
Nonalcoholic beverages,October,2011,2012,Upper bound of prediction interval,5.7
Fresh vegetables,January,2011,2011,Lower bound of forecast range,2.5
Fresh vegetables,January,2011,2011,Upper bound of forecast range,3.5
Fresh vegetables,February,2011,2011,Lower bound of forecast range,3.0
Fresh vegetables,February,2011,2011,Upper bound of forecast range,4.0
Fresh vegetables,March,2011,2011,Lower bound of forecast range,4.0
Fresh vegetables,March,2011,2011,Upper bound of forecast range,5.0
Fresh vegetables,April,2011,2011,Lower bound of forecast range,4.5
Fresh vegetables,April,2011,2011,Upper bound of forecast range,5.5
Fresh vegetables,July,2011,2012,Mid point of prediction interval,-1.2
Fresh vegetables,July,2011,2012,Upper bound of prediction interval,8.9
Fresh vegetables,August,2011,2012,Lower bound of prediction interval,-4.8
Fresh vegetables,August,2011,2012,Mid point of prediction interval,1.9
Nonalcoholic beverages,July,2011,2012,Mid point of prediction interval,1.1
Nonalcoholic beverages,July,2011,2012,Upper bound of prediction interval,4.9
Nonalcoholic beverages,August,2011,2012,Lower bound of prediction interval,-2.0
Nonalcoholic beverages,August,2011,2012,Mid point of prediction interval,1.6
Nonalcoholic beverages,August,2011,2012,Upper bound of prediction interval,5.3
Nonalcoholic beverages,September,2011,2012,Lower bound of prediction interval,-1.6
Fruits and vegetables,July,2011,2011,Lower bound of forecast range,3.5
Fruits and vegetables,June,2011,2011,Upper bound of forecast range,4.5
Fruits and vegetables,June,2011,2011,Lower bound of forecast range,3.5
Fruits and vegetables,May,2011,2011,Upper bound of forecast range,4.5
Fruits and vegetables,May,2011,2011,Lower bound of forecast range,3.5
Fruits and vegetables,April,2011,2011,Upper bound of forecast range,4.5
Fresh vegetables,May,2011,2011,Lower bound of forecast range,4.5
Fruits and vegetables,April,2011,2011,Lower bound of forecast range,3.5
Fruits and vegetables,March,2011,2011,Lower bound of forecast range,3.0
Fruits and vegetables,February,2011,2011,Upper bound of forecast range,4.0
Fruits and vegetables,February,2011,2011,Lower bound of forecast range,3.0
Fruits and vegetables,January,2011,2011,Upper bound of forecast range,3.5
Fruits and vegetables,January,2011,2011,Lower bound of forecast range,2.5
Fresh vegetables,October,2011,2012,Upper bound of prediction interval,7.9
Fresh vegetables,October,2011,2012,Mid point of prediction interval,0.9
Fresh vegetables,October,2011,2012,Lower bound of prediction interval,-5.6
Fresh vegetables,September,2011,2012,Upper bound of prediction interval,8.3
Fresh vegetables,September,2011,2012,Mid point of prediction interval,1.0
Fresh vegetables,September,2011,2012,Lower bound of prediction interval,-5.8
Fresh vegetables,August,2011,2012,Upper bound of prediction interval,8.9
Fruits and vegetables,March,2011,2011,Upper bound of forecast range,4.0
Nonalcoholic beverages,July,2011,2012,Lower bound of prediction interval,-2.7
Fresh vegetables,May,2011,2011,Upper bound of forecast range,5.5
Fresh vegetables,June,2011,2011,Upper bound of forecast range,5.5
Dairy products,October,2011,2011,Upper bound of forecast range,6.0
Dairy products,October,2011,2011,Lower bound of forecast range,5.0
Dairy products,September,2011,2011,Upper bound of forecast range,6.0
Dairy products,September,2011,2011,Lower bound of forecast range,5.0
Dairy products,August,2011,2011,Upper bound of forecast range,6.0
Dairy products,August,2011,2011,Lower bound of forecast range,5.0
Dairy products,July,2011,2011,Upper bound of forecast range,6.0
Fresh vegetables,July,2011,2011,Upper bound of forecast range,5.5
Dairy products,July,2011,2011,Lower bound of forecast range,5.0
Dairy products,June,2011,2011,Upper bound of forecast range,6.0
Dairy products,June,2011,2011,Lower bound of forecast range,5.0
Dairy products,May,2011,2011,Upper bound of forecast range,6.0
Dairy products,May,2011,2011,Lower bound of forecast range,5.0
Dairy products,April,2011,2011,Upper bound of forecast range,5.5
Dairy products,April,2011,2011,Lower bound of forecast range,4.5
Dairy products,March,2011,2011,Upper bound of forecast range,5.5
Dairy products,March,2011,2011,Lower bound of forecast range,4.5
Dairy products,February,2011,2011,Upper bound of forecast range,5.5
Dairy products,February,2011,2011,Lower bound of forecast range,4.5
Dairy products,January,2011,2011,Upper bound of forecast range,5.5
Dairy products,January,2011,2011,Lower bound of forecast range,4.5
Fresh fruits,August,2011,2012,Upper bound of prediction interval,7.9
Fresh fruits,August,2011,2012,Mid point of prediction interval,0.3
Fresh fruits,August,2011,2012,Lower bound of prediction interval,-6.6
Fresh fruits,July,2011,2012,Upper bound of prediction interval,8.7
Dairy products,November,2011,2011,Lower bound of forecast range,5.0
Dairy products,November,2011,2011,Upper bound of forecast range,6.0
Dairy products,December,2011,2011,Lower bound of forecast range,6.25
Dairy products,December,2011,2011,Upper bound of forecast range,6.75
Fresh vegetables,July,2011,2011,Lower bound of forecast range,4.5
Fats and oils,July,2011,2011,Lower bound of forecast range,6.5
Fats and oils,June,2011,2011,Upper bound of forecast range,7.5
Fats and oils,June,2011,2011,Lower bound of forecast range,6.5
Fats and oils,May,2011,2011,Upper bound of forecast range,7.0
Fats and oils,May,2011,2011,Lower bound of forecast range,6.0
Fats and oils,April,2011,2011,Upper bound of forecast range,7.0
Fats and oils,April,2011,2011,Lower bound of forecast range,6.0
Fats and oils,March,2011,2011,Upper bound of forecast range,6.0
Fats and oils,March,2011,2011,Lower bound of forecast range,5.0
Fats and oils,February,2011,2011,Upper bound of forecast range,5.5
Fats and oils,February,2011,2011,Lower bound of forecast range,4.5
Fresh vegetables,June,2011,2011,Lower bound of forecast range,4.5
Fats and oils,January,2011,2011,Upper bound of forecast range,4.0
Fresh fruits,December,2011,2012,Upper bound of prediction interval,7.6
Fresh fruits,December,2011,2012,Mid point of prediction interval,1.3
Fresh fruits,December,2011,2012,Lower bound of prediction interval,-4.7
Fresh fruits,November,2011,2012,Upper bound of prediction interval,8.6
Fresh fruits,November,2011,2012,Mid point of prediction interval,1.9
Fresh fruits,November,2011,2012,Lower bound of prediction interval,-4.2
Fresh fruits,October,2011,2012,Upper bound of prediction interval,9.4
Fresh fruits,October,2011,2012,Mid point of prediction interval,2.4
Fresh fruits,October,2011,2012,Lower bound of prediction interval,-4.3
Fresh fruits,September,2011,2012,Upper bound of prediction interval,9.5
Fresh fruits,September,2011,2012,Mid point of prediction interval,2.2
Fresh fruits,September,2011,2012,Lower bound of prediction interval,-4.6
Fats and oils,January,2011,2011,Lower bound of forecast range,3.0
Fresh fruits,July,2011,2012,Mid point of prediction interval,-0.4
Cereals and bakery products,December,2011,2012,Upper bound of prediction interval,7.2
Cereals and bakery products,December,2011,2012,Lower bound of prediction interval,0.3
Fresh fruits,December,2011,2011,Lower bound of forecast range,3.0
Fresh fruits,December,2011,2011,Upper bound of forecast range,3.5
Cereals and bakery products,September,2011,2012,Lower bound of prediction interval,-0.4
Cereals and bakery products,September,2011,2012,Mid point of prediction interval,4.2
Fresh fruits,January,2011,2011,Upper bound of forecast range,3.5
Fresh fruits,January,2011,2011,Lower bound of forecast range,2.5
Sugar and sweets,October,2011,2012,Upper bound of prediction interval,8.4
Sugar and sweets,October,2011,2012,Mid point of prediction interval,4.9
